PassengerId,Age,Fare,Embarked,passenger_sex,Familia,Solo,GrupoFam,CabinGroup,AgeGroup,Cabin_H,Cabin_L,Cabin_M,Cabin_X,passenger_class_Lower,passenger_class_Middle,passenger_class_Upper
416,28.0,8.05,2,0,1,1,1.0,3,2.0,0,0,0,1,1,0,0
714,29.0,9.4833,2,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
860,28.0,7.2292,1,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
608,27.0,30.5,2,1,1,1,1.0,3,2.0,0,0,0,1,0,0,1
78,28.0,8.05,2,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
505,16.0,86.5,2,0,1,1,1.0,0,1.0,1,0,0,0,0,0,1
725,27.0,53.1,2,1,2,0,2.0,0,2.0,1,0,0,0,0,0,1
73,21.0,73.5,2,1,1,1,1.0,3,2.0,0,0,0,1,0,1,0
881,25.0,26.0,2,0,2,0,2.0,3,2.0,0,0,0,1,0,1,0
839,32.0,56.4958,2,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
738,35.0,512.3292,1,1,1,1,1.0,0,2.0,1,0,0,0,0,0,1
707,45.0,13.5,2,0,1,1,1.0,3,3.0,0,0,0,1,0,1,0
693,28.0,56.4958,2,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
120,2.0,31.275,2,0,7,0,3.0,3,1.0,0,0,0,1,1,0,0
802,31.0,26.25,2,0,3,0,3.0,3,2.0,0,0,0,1,0,1,0
789,1.0,20.575,2,1,4,0,3.0,3,1.0,0,0,0,1,1,0,0
404,28.0,15.85,2,1,2,0,2.0,3,2.0,0,0,0,1,1,0,0
356,28.0,9.5,2,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
528,28.0,221.7792,2,1,1,1,1.0,1,2.0,0,0,1,0,0,0,1
563,28.0,13.5,2,1,1,1,1.0,3,2.0,0,0,0,1,0,1,0
165,1.0,39.6875,2,1,6,0,3.0,3,1.0,0,0,0,1,1,0,0
840,28.0,29.7,1,1,1,1,1.0,1,2.0,0,0,1,0,0,0,1
681,28.0,8.1375,3,0,1,1,1.0,3,2.0,0,0,0,1,1,0,0
668,28.0,7.775,2,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
89,23.0,263.0,2,0,6,0,3.0,1,2.0,0,0,1,0,0,0,1
213,22.0,7.25,2,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
140,24.0,79.2,1,1,1,1,1.0,0,2.0,1,0,0,0,0,0,1
549,33.0,20.525,2,1,3,0,3.0,3,2.0,0,0,0,1,1,0,0
499,25.0,151.55,2,0,4,0,3.0,1,2.0,0,0,1,0,0,0,1
407,51.0,7.75,2,1,1,1,1.0,3,3.0,0,0,0,1,1,0,0
