PassengerId,passenger_survived
416,0
714,0
860,0
608,1
78,0
505,1
725,1
73,0
881,1
839,1
738,1
707,1
693,1
120,0
802,1
789,1
404,0
356,0
528,0
563,0
165,0
840,1
681,0
668,0
89,1
213,0
140,0
549,0
499,0
407,0
205,1
574,1
477,0
616,1
821,1
200,0
577,1
829,1
665,1
261,0
596,0
354,0
364,0
68,0
501,0
20,1
196,1
868,0
582,1
312,1
428,1
764,1
150,0
809,0
360,1
65,0
448,1
652,1
454,1
178,0
154,0
180,0
51,0
282,0
469,0
636,1
271,0
741,1
110,1
526,0
212,1
49,0
4,1
776,0
265,0
277,0
239,0
550,1
331,1
349,1
126,1
871,0
775,1
387,0
551,1
340,0
530,0
525,0
379,0
712,0
440,0
806,0
529,0
358,0
736,0
176,0
418,1
21,0
675,0
186,0
805,1
666,0
816,0
37,1
542,0
281,0
449,1
811,0
397,0
629,0
442,0
624,0
642,1
335,1
260,1
182,0
846,0
252,0
889,0
610,1
92,0
147,1
258,1
721,1
190,0
731,1
350,0
586,1
598,0
111,0
164,0
411,0
611,0
461,1
425,0
670,1
795,0
318,0
453,0
267,0
749,0
202,0
199,1
703,0
859,1
256,1
438,1
434,0
482,0
823,0
717,1
585,0
406,0
772,0
685,0
304,1
564,0
768,0
57,1
187,1
879,0
754,0
495,0
597,1
509,0
359,1
249,1
309,0
831,1
589,0
386,0
237,0
419,0
380,0
55,0
878,0
600,1
626,0
844,0
